"State";"Account Length";"Phone";"Int'l Plan";"VMail Plan";"Day Mins";"Area Code";"VMail Message";"Day Calls";"Day Charge";"Eve Mins";"Eve Calls";"Eve Charge";"Night Mins";"Night Calls";"Night Charge";"Intl Mins";"Intl Calls";"Intl Charge";"CustServ Calls";"Churn?"
"OR";"80";"391-8087";"no";"no";"161.100000";415.0;0.0;99.0;27.39;198.8;81.0;16.9;228.4;116.0;10.28;10.6;4.0;2.86;1.0;"False."
"MT";"106";"392-6420";"no";"no";"169.400000";510.0;0.0;107.0;28.8;197.2;71.0;16.76;202.2;79.0;9.1;10.7;4.0;2.89;1.0;"False."
"AL";"61";"399-4094";"no";"yes";"254.400000";415.0;20.0;133.0;43.25;161.7;96.0;13.74;251.4;91.0;11.31;10.5;4.0;2.84;0.0;"False."
"ND";"135";"378-4013";"yes";"yes";"127.700000";510.0;24.0;54.0;21.71;215.0;105.0;18.28;234.3;84.0;10.54;5.8;4.0;1.57;2.0;"False."
"LA";"115";"386-6306";"no";"yes";"170.500000";415.0;26.0;107.0;28.99;217.2;77.0;18.46;225.7;71.0;10.16;13.6;5.0;3.67;6.0;"False."
"ND";"167";"359-3618";"yes";"no";"219.100000";408.0;0.0;100.0;37.25;242.9;90.0;20.65;168.9;101.0;7.6;10.1;4.0;2.73;2.0;"False."
"MS";"107";"340-8875";"yes";"no";"273.500000";510.0;0.0;104.0;46.5;183.8;68.0;15.62;153.8;67.0;6.92;11.0;9.0;2.97;2.0;"False."
"WV";"112";"330-2693";"yes";"no";"161.900000";415.0;0.0;138.0;27.52;200.9;114.0;17.08;134.0;134.0;6.03;10.7;4.0;2.89;1.0;"False."
"WI";"35";"403-7627";"no";"yes";"241.700000";510.0;27.0;87.0;41.09;142.0;101.0;12.07;288.9;68.0;13.0;9.4;4.0;2.54;1.0;"False."
"KS";"103";"342-3678";"yes";"no";"62.800000";408.0;0.0;124.0;10.68;170.4;66.0;14.48;280.2;78.0;12.61;9.4;4.0;2.54;3.0;"False."
"MO";"107";"344-9943";"no";"yes";"281.100000";415.0;22.0;83.0;47.79;143.7;130.0;12.21;239.4;128.0;10.77;11.2;9.0;3.02;1.0;"False."
"PA";"69";"390-5686";"no";"no";"228.200000";415.0;0.0;70.0;38.79;263.7;80.0;22.41;142.6;60.0;6.42;10.7;5.0;2.89;3.0;"False."
"SD";"85";"358-5826";"no";"no";"209.800000";408.0;0.0;82.0;35.67;194.5;94.0;16.53;200.4;85.0;9.02;11.3;3.0;3.05;0.0;"False."
"NJ";"24";"393-7826";"no";"no";"265.600000";408.0;0.0;86.0;45.15;208.8;102.0;17.75;182.5;105.0;8.21;11.1;6.0;3.0;2.0;"True."
"AL";"90";"335-9786";"no";"no";"214.900000";415.0;0.0;97.0;36.53;117.8;117.0;10.01;133.7;78.0;6.02;11.8;2.0;3.19;2.0;"False."
"ME";"137";"368-9860";"no";"no";"110.500000";510.0;0.0;79.0;18.79;223.2;111.0;18.97;169.5;64.0;7.63;10.5;3.0;2.84;3.0;"False."
"AZ";"92";"416-9522";"yes";"yes";"281.100000";415.0;45.0;88.0;47.79;198.0;103.0;16.83;94.3;76.0;4.24;7.5;3.0;2.03;0.0;"False."
"VT";"38";"416-7307";"no";"no";"137.800000";415.0;0.0;86.0;23.43;286.3;76.0;24.34;167.0;77.0;7.52;14.1;3.0;3.81;2.0;"False."
"NV";"69";"397-6789";"yes";"yes";"271.500000";510.0;33.0;98.0;46.16;253.4;102.0;21.54;165.4;85.0;7.44;8.2;2.0;2.21;1.0;"True."
"WI";"45";"335-9501";"no";"no";"112.800000";408.0;0.0;108.0;19.18;218.8;120.0;18.6;240.2;106.0;10.81;9.0;3.0;2.43;2.0;"False."
"HI";"73";"388-1250";"no";"no";"187.300000";408.0;0.0;118.0;31.84;239.7;90.0;20.37;167.5;108.0;7.54;15.1;2.0;4.08;1.0;"False."
"DE";"92";"386-1374";"no";"no";"197.000000";415.0;0.0;84.0;33.49;269.3;105.0;22.89;158.9;105.0;7.15;10.8;4.0;2.92;1.0;"False."
"AZ";"113";"346-8112";"no";"yes";"180.400000";415.0;32.0;89.0;30.67;129.4;124.0;11.0;166.9;124.0;7.51;8.4;2.0;2.27;1.0;"False."
"VA";"68";"364-9040";"yes";"no";"148.500000";408.0;0.0;126.0;25.25;219.4;125.0;18.65;198.5;121.0;8.93;14.5;7.0;3.92;1.0;"True."
"GA";"135";"366-3944";"no";"yes";"197.100000";415.0;22.0;113.0;33.51;259.4;95.0;22.05;134.7;135.0;6.06;14.6;5.0;3.94;2.0;"False."
"AZ";"100";"331-9861";"no";"yes";"153.700000";415.0;26.0;115.0;26.13;137.8;146.0;11.71;213.5;104.0;9.61;15.9;5.0;4.29;1.0;"False."
"MN";"96";"330-2881";"no";"yes";"261.300000";415.0;27.0;96.0;44.42;220.9;101.0;18.78;179.4;97.0;8.07;11.3;2.0;3.05;1.0;"False."
"ME";"108";"402-9558";"no";"no";"246.200000";510.0;0.0;102.0;41.85;202.4;134.0;17.2;180.1;95.0;8.1;9.4;5.0;2.54;1.0;"False."
"FL";"84";"341-3180";"no";"no";"191.000000";510.0;0.0;88.0;32.47;318.8;119.0;27.1;247.3;79.0;11.13;6.5;4.0;1.76;0.0;"False."
"WA";"134";"371-8598";"no";"no";"208.300000";408.0;0.0;86.0;35.41;253.6;89.0;21.56;291.0;86.0;13.1;12.6;3.0;3.4;1.0;"False."
"MT";"72";"398-8385";"no";"no";"253.000000";415.0;0.0;73.0;43.01;219.3;78.0;18.64;210.8;89.0;9.49;9.8;4.0;2.65;0.0;"False."
"AL";"83";"333-4154";"no";"no";"202.300000";408.0;0.0;87.0;34.39;201.5;111.0;17.13;101.7;82.0;4.58;6.8;4.0;1.84;0.0;"False."
"WV";"137";"330-3589";"no";"no";"174.400000";408.0;0.0;120.0;29.65;156.3;98.0;13.29;136.5;121.0;6.14;10.2;5.0;2.75;0.0;"False."
"GA";"56";"417-1477";"no";"yes";"127.100000";415.0;30.0;89.0;21.61;172.1;116.0;14.63;194.6;111.0;8.76;12.1;3.0;3.27;1.0;"False."
"OH";"61";"327-5525";"yes";"yes";"143.500000";510.0;16.0;76.0;24.4;242.6;58.0;20.62;147.7;95.0;6.65;11.3;3.0;3.05;0.0;"False."
"DE";"171";"363-8244";"no";"yes";"186.900000";510.0;17.0;94.0;31.77;240.0;138.0;20.4;200.9;64.0;9.04;5.8;3.0;1.57;1.0;"False."
"NE";"123";"419-9104";"no";"no";"194.000000";510.0;0.0;118.0;32.98;242.0;114.0;20.57;146.3;108.0;6.58;12.1;4.0;3.27;1.0;"False."
"FL";"58";"363-1560";"no";"no";"234.800000";510.0;0.0;89.0;39.92;106.8;131.0;9.08;178.5;122.0;8.03;9.9;6.0;2.67;0.0;"False."
"AK";"156";"341-4075";"no";"no";"123.700000";510.0;0.0;96.0;21.03;103.0;80.0;8.76;189.4;82.0;8.52;13.1;4.0;3.54;1.0;"False."
"WI";"166";"366-9074";"no";"no";"173.900000";510.0;0.0;103.0;29.56;276.4;83.0;23.49;190.8;113.0;8.59;15.3;5.0;4.13;0.0;"False."
"WA";"75";"367-1424";"no";"yes";"130.900000";510.0;41.0;115.0;22.25;203.4;110.0;17.29;171.7;68.0;7.73;12.4;4.0;3.35;1.0;"False."
"KY";"75";"341-1191";"no";"no";"314.600000";415.0;0.0;102.0;53.48;169.8;86.0;14.43;285.1;100.0;12.83;5.7;3.0;1.54;2.0;"True."
"OH";"83";"342-9480";"no";"no";"227.900000";510.0;0.0;78.0;38.74;207.5;115.0;17.64;211.7;100.0;9.53;12.1;5.0;3.27;1.0;"False."
"UT";"243";"355-9360";"no";"no";"95.500000";510.0;0.0;92.0;16.24;163.7;63.0;13.91;264.2;118.0;11.89;6.6;6.0;1.78;2.0;"False."
"NM";"153";"343-1538";"no";"no";"185.300000";408.0;0.0;127.0;31.5;208.0;73.0;17.68;206.1;124.0;9.27;15.1;3.0;4.08;1.0;"False."
"MN";"150";"335-2331";"no";"no";"146.300000";415.0;0.0;133.0;24.87;202.7;95.0;17.23;234.7;103.0;10.56;13.1;3.0;3.54;1.0;"False."
"WV";"92";"335-7257";"no";"yes";"184.000000";510.0;16.0;99.0;31.28;76.4;134.0;6.49;185.1;96.0;8.33;12.7;3.0;3.43;2.0;"False."
"MN";"80";"332-2137";"no";"no";"105.800000";415.0;0.0;110.0;17.99;43.9;88.0;3.73;189.6;87.0;8.53;13.1;5.0;3.54;0.0;"False."
"AL";"134";"352-2998";"no";"no";"178.000000";415.0;0.0;110.0;30.26;153.8;64.0;13.07;236.6;105.0;10.65;11.7;4.0;3.16;1.0;"False."
"PA";"77";"346-6941";"no";"yes";"149.400000";510.0;24.0;74.0;25.4;123.9;72.0;10.53;174.3;84.0;7.84;10.1;6.0;2.73;1.0;"False."
"DE";"147";"400-2203";"no";"no";"209.400000";510.0;0.0;104.0;35.6;132.5;78.0;11.26;149.4;123.0;6.72;11.3;3.0;3.05;2.0;"False."
"MO";"74";"421-2955";"no";"no";"172.100000";415.0;0.0;105.0;29.26;211.7;99.0;17.99;182.2;105.0;8.2;11.6;6.0;3.13;1.0;"False."
"IL";"138";"331-6629";"yes";"no";"169.300000";510.0;0.0;82.0;28.78;217.9;147.0;18.52;184.2;77.0;8.29;9.4;9.0;2.54;1.0;"False."
"FL";"143";"343-6314";"no";"no";"119.100000";415.0;0.0;117.0;20.25;287.7;136.0;24.45;223.0;100.0;10.04;12.2;4.0;3.29;0.0;"False."
"HI";"64";"414-6638";"no";"no";"194.200000";415.0;0.0;147.0;33.01;173.4;87.0;14.74;268.7;114.0;12.09;5.5;2.0;1.49;2.0;"False."
"ME";"120";"350-5883";"no";"no";"198.800000";510.0;0.0;56.0;33.8;230.1;73.0;19.56;119.8;81.0;5.39;9.9;3.0;2.67;2.0;"False."
"CO";"121";"409-4447";"yes";"no";"167.700000";408.0;0.0;94.0;28.51;93.7;121.0;7.96;241.3;115.0;10.86;13.4;1.0;3.62;3.0;"True."
"NH";"88";"376-4856";"no";"no";"202.200000";415.0;0.0;86.0;34.37;216.8;93.0;18.43;239.4;99.0;10.77;11.8;2.0;3.19;2.0;"False."
"SC";"87";"335-1874";"no";"no";"322.500000";408.0;0.0;106.0;54.83;204.6;93.0;17.39;186.2;128.0;8.38;9.4;4.0;2.54;2.0;"True."
"IN";"100";"397-6255";"no";"no";"216.200000";510.0;0.0;107.0;36.75;215.6;84.0;18.33;138.4;127.0;6.23;10.2;3.0;2.75;0.0;"False."
"FL";"104";"381-5047";"no";"no";"76.400000";415.0;0.0;116.0;12.99;115.6;74.0;9.83;226.3;94.0;10.18;9.4;3.0;2.54;3.0;"False."
"GA";"27";"403-6850";"no";"no";"72.700000";510.0;0.0;75.0;12.36;208.6;117.0;17.73;65.8;71.0;2.96;9.9;3.0;2.67;1.0;"False."
"IL";"81";"375-3658";"no";"yes";"210.400000";415.0;31.0;100.0;35.77;225.5;97.0;19.17;168.7;120.0;7.59;9.7;4.0;2.62;0.0;"False."
"NC";"64";"341-2603";"yes";"yes";"127.200000";510.0;33.0;93.0;21.62;162.9;104.0;13.85;247.4;109.0;11.13;8.1;13.0;2.19;0.0;"False."
"VT";"107";"342-5062";"no";"yes";"201.800000";510.0;28.0;79.0;34.31;304.9;128.0;25.92;225.6;133.0;10.15;11.9;8.0;3.21;1.0;"False."
"DC";"88";"354-1558";"no";"yes";"219.500000";415.0;17.0;78.0;37.32;222.1;94.0;18.88;188.3;92.0;8.47;16.1;5.0;4.35;1.0;"False."
"VT";"111";"351-9537";"no";"no";"99.300000";408.0;0.0;112.0;16.88;270.5;136.0;22.99;225.3;94.0;10.14;9.0;6.0;2.43;3.0;"False."
"NV";"77";"401-1252";"no";"no";"239.200000";415.0;0.0;114.0;40.66;150.0;115.0;12.75;160.8;81.0;7.24;10.3;2.0;2.78;5.0;"False."
"OR";"67";"366-9538";"yes";"no";"120.900000";415.0;0.0;58.0;20.55;235.0;88.0;19.98;95.1;130.0;4.28;11.4;11.0;3.08;2.0;"False."
"AL";"102";"364-7622";"no";"no";"224.700000";408.0;0.0;81.0;38.2;129.4;112.0;11.0;167.6;109.0;7.54;15.8;6.0;4.27;1.0;"False."
"ND";"146";"393-9918";"no";"yes";"176.600000";408.0;19.0;88.0;30.02;162.7;66.0;13.83;215.5;98.0;9.7;14.6;6.0;3.94;1.0;"False."
"FL";"144";"376-4484";"no";"yes";"283.900000";415.0;51.0;98.0;48.26;192.0;109.0;16.32;196.3;85.0;8.83;10.0;4.0;2.7;1.0;"False."
"NE";"96";"410-6791";"no";"no";"180.600000";415.0;0.0;92.0;30.7;190.9;114.0;16.23;295.6;125.0;13.3;10.3;4.0;2.78;1.0;"True."
"ND";"70";"343-2392";"no";"yes";"125.900000";415.0;31.0;101.0;21.4;196.4;102.0;16.69;252.7;75.0;11.37;10.3;4.0;2.78;1.0;"False."
"ME";"149";"408-4323";"no";"no";"237.600000";408.0;0.0;79.0;40.39;192.4;107.0;16.35;207.4;111.0;9.33;9.1;9.0;2.46;0.0;"False."
"IL";"129";"395-1718";"no";"no";"198.400000";415.0;0.0;91.0;33.73;264.7;106.0;22.5;111.4;101.0;5.01;9.2;2.0;2.48;2.0;"False."
"WA";"166";"354-9492";"no";"no";"274.300000";408.0;0.0;110.0;46.63;52.9;109.0;4.5;246.1;119.0;11.07;10.9;5.0;2.94;0.0;"False."
"MA";"136";"367-8168";"yes";"no";"199.600000";408.0;0.0;89.0;33.93;211.4;96.0;17.97;72.4;84.0;3.26;11.0;4.0;2.97;3.0;"True."
"KS";"149";"340-3500";"no";"no";"217.700000";510.0;0.0;91.0;37.01;273.5;74.0;23.25;226.9;99.0;10.21;9.6;3.0;2.59;3.0;"False."
"RI";"70";"369-4962";"no";"no";"134.700000";415.0;0.0;96.0;22.9;235.9;90.0;20.05;260.2;113.0;11.71;7.6;6.0;2.05;3.0;"False."
"MO";"120";"334-8967";"no";"yes";"212.700000";415.0;24.0;73.0;36.16;257.5;103.0;21.89;227.8;119.0;10.25;9.7;13.0;2.62;2.0;"False."
"IA";"66";"402-2377";"no";"no";"256.300000";510.0;0.0;135.0;43.57;180.2;106.0;15.32;187.3;135.0;8.43;6.2;7.0;1.67;2.0;"False."
"WY";"104";"366-3917";"no";"no";"183.600000";408.0;0.0;133.0;31.21;120.7;98.0;10.26;215.1;112.0;9.68;12.7;2.0;3.43;1.0;"False."
"NV";"160";"333-3531";"no";"no";"176.200000";415.0;0.0;90.0;29.95;196.0;115.0;16.66;263.9;95.0;11.88;9.2;4.0;2.48;1.0;"False."
"WI";"129";"333-8954";"no";"yes";"205.000000";415.0;37.0;94.0;34.85;165.4;103.0;14.06;185.0;81.0;8.32;11.7;8.0;3.16;1.0;"False."
"AL";"93";"374-9203";"no";"no";"267.900000";408.0;0.0;114.0;45.54;223.0;74.0;18.96;262.7;90.0;11.82;11.3;3.0;3.05;3.0;"True."
"HI";"169";"334-3289";"no";"no";"179.200000";415.0;0.0;111.0;30.46;175.2;130.0;14.89;228.6;92.0;10.29;9.9;6.0;2.67;2.0;"False."
"MO";"58";"353-7822";"no";"no";"149.400000";415.0;0.0;145.0;25.4;196.5;105.0;16.7;209.5;108.0;9.43;14.9;3.0;4.02;1.0;"False."
"CA";"75";"350-1422";"no";"yes";"163.600000";510.0;38.0;132.0;27.81;146.7;113.0;12.47;345.8;115.0;15.56;13.1;3.0;3.54;3.0;"False."
"MO";"45";"385-8406";"no";"no";"207.600000";408.0;0.0;71.0;35.29;152.7;94.0;12.98;217.8;125.0;9.8;12.4;13.0;3.35;1.0;"False."
"CT";"155";"380-7277";"no";"no";"165.400000";510.0;0.0;108.0;28.12;183.7;103.0;15.61;80.2;108.0;3.61;8.9;4.0;2.4;3.0;"False."
"MD";"52";"352-1798";"no";"no";"209.800000";415.0;0.0;114.0;35.67;171.3;82.0;14.56;154.6;119.0;6.96;9.9;9.0;2.67;4.0;"False."
"OH";"119";"385-7922";"no";"yes";"220.100000";415.0;27.0;128.0;37.42;268.2;133.0;22.8;146.5;80.0;6.59;11.1;3.0;3.0;0.0;"False."
"NV";"86";"353-7730";"no";"no";"141.300000";510.0;0.0;72.0;24.02;154.3;95.0;13.12;210.6;91.0;9.48;8.2;5.0;2.21;1.0;"False."
"MD";"42";"337-7163";"no";"no";"196.500000";408.0;0.0;89.0;33.41;241.3;123.0;20.51;143.2;105.0;6.44;4.0;7.0;1.08;0.0;"False."
"NE";"127";"348-5567";"yes";"no";"180.900000";510.0;0.0;114.0;30.75;209.5;118.0;17.81;249.9;105.0;11.25;7.4;4.0;2.0;2.0;"False."
"OH";"123";"420-9575";"no";"no";"105.000000";408.0;0.0;150.0;17.85;251.6;90.0;21.39;258.0;93.0;11.61;14.9;5.0;4.02;0.0;"False."
"MA";"98";"366-3358";"no";"no";"271.400000";510.0;0.0;119.0;46.14;190.4;102.0;16.18;284.7;118.0;12.81;11.1;6.0;3.0;4.0;"True."
"OK";"149";"359-9972";"no";"yes";"206.700000";510.0;43.0;79.0;35.14;174.6;122.0;14.84;241.5;80.0;10.87;10.9;3.0;2.94;1.0;"False."
"MA";"160";"387-3332";"no";"no";"166.800000";408.0;0.0;109.0;28.36;236.0;117.0;20.06;307.6;77.0;13.84;9.3;1.0;2.51;1.0;"False."
"WA";"103";"354-6960";"no";"no";"204.900000";415.0;0.0;107.0;34.83;135.2;102.0;11.49;208.2;106.0;9.37;10.4;3.0;2.81;5.0;"False."
"HI";"132";"405-3335";"no";"yes";"154.600000";415.0;15.0;128.0;26.28;245.6;106.0;20.88;148.6;90.0;6.69;9.1;4.0;2.46;1.0;"False."
"CO";"137";"379-4257";"no";"no";"127.000000";415.0;0.0;107.0;21.59;323.2;75.0;27.47;143.9;127.0;6.48;7.5;2.0;2.03;1.0;"False."
"FL";"129";"355-4992";"yes";"no";"267.400000";415.0;0.0;78.0;45.46;204.2;85.0;17.36;111.7;146.0;5.03;5.9;4.0;1.59;1.0;"False."
"WI";"62";"383-6373";"no";"no";"281.000000";415.0;0.0;66.0;47.77;160.6;108.0;13.65;77.9;74.0;3.51;0.0;0.0;0.0;1.0;"False."
"ID";"122";"382-7993";"no";"yes";"270.800000";510.0;33.0;96.0;46.04;220.4;110.0;18.73;169.9;104.0;7.65;11.8;8.0;3.19;4.0;"False."
"WY";"32";"422-5865";"no";"no";"171.200000";408.0;0.0;82.0;29.1;185.6;102.0;15.78;203.3;64.0;9.15;10.2;7.0;2.75;1.0;"False."
"GA";"86";"410-9961";"no";"no";"124.100000";510.0;0.0;82.0;21.1;202.6;120.0;17.22;289.6;119.0;13.03;6.7;8.0;1.81;3.0;"False."
"FL";"130";"343-9946";"no";"no";"162.800000";415.0;0.0;113.0;27.68;290.3;111.0;24.68;114.9;140.0;5.17;7.2;3.0;1.94;1.0;"False."
"WY";"42";"357-7060";"no";"no";"146.300000";408.0;0.0;84.0;24.87;255.9;113.0;21.75;45.0;117.0;2.03;8.0;12.0;2.16;1.0;"False."
"DE";"73";"355-9541";"no";"no";"254.800000";415.0;0.0;85.0;43.32;143.4;80.0;12.19;153.9;102.0;6.93;15.0;7.0;4.05;2.0;"False."
"ME";"66";"378-4145";"no";"yes";"254.900000";408.0;26.0;108.0;43.33;243.2;135.0;20.67;190.8;95.0;8.59;5.4;3.0;1.46;2.0;"False."
"DC";"103";"386-2317";"no";"yes";"107.700000";510.0;31.0;124.0;18.31;188.9;104.0;16.06;196.2;98.0;8.83;8.9;3.0;2.4;0.0;"False."
"IA";"128";"335-8146";"no";"no";"158.800000";408.0;0.0;75.0;27.0;264.8;91.0;22.51;270.0;77.0;12.15;7.6;7.0;2.05;1.0;"False."
"CO";"104";"377-2235";"no";"no";"182.900000";415.0;0.0;113.0;31.09;239.6;85.0;20.37;229.8;104.0;10.34;5.5;4.0;1.49;2.0;"False."
"MN";"103";"386-9141";"no";"no";"198.500000";415.0;0.0;112.0;33.75;42.5;90.0;3.61;179.2;124.0;8.06;12.4;5.0;3.35;0.0;"False."
"VT";"124";"416-5623";"no";"no";"178.400000";415.0;0.0;72.0;30.33;233.6;134.0;19.86;179.4;91.0;8.07;12.0;2.0;3.24;0.0;"False."
"AZ";"87";"327-3053";"no";"no";"110.900000";510.0;0.0;91.0;18.85;158.5;115.0;13.47;207.5;131.0;9.34;6.2;5.0;1.67;1.0;"False."
"LA";"109";"395-6195";"no";"yes";"166.900000";415.0;27.0;85.0;28.37;221.2;92.0;18.8;197.3;97.0;8.88;12.3;4.0;3.32;1.0;"True."
"MO";"167";"397-8772";"yes";"no";"244.800000";415.0;0.0;91.0;41.62;60.8;105.0;5.17;176.7;110.0;7.95;10.7;3.0;2.89;2.0;"False."
"ME";"97";"346-7656";"no";"no";"120.800000";510.0;0.0;96.0;20.54;169.8;101.0;14.43;194.1;63.0;8.73;11.9;3.0;3.21;4.0;"True."
"MD";"106";"343-2350";"no";"no";"165.300000";415.0;0.0;118.0;28.1;210.0;101.0;17.85;187.2;93.0;8.42;8.5;3.0;2.3;2.0;"False."
"VT";"125";"372-4722";"no";"no";"126.700000";415.0;0.0;113.0;21.54;155.5;131.0;13.22;206.2;112.0;9.28;14.4;7.0;3.89;2.0;"False."
"DC";"108";"399-8615";"no";"yes";"215.900000";408.0;35.0;106.0;36.7;200.6;107.0;17.05;195.4;107.0;8.79;15.5;7.0;4.19;0.0;"False."
"WY";"125";"379-8248";"no";"no";"140.100000";415.0;0.0;132.0;23.82;209.6;126.0;17.82;264.1;77.0;11.88;8.0;2.0;2.16;1.0;"False."
"VA";"89";"414-6219";"no";"yes";"209.900000";415.0;32.0;113.0;35.68;249.8;104.0;21.23;224.2;92.0;10.09;8.7;7.0;2.35;1.0;"False."
"VA";"72";"387-1343";"yes";"yes";"139.800000";510.0;29.0;114.0;23.77;138.2;91.0;11.75;221.0;88.0;9.95;5.5;6.0;1.49;0.0;"False."
"CT";"23";"370-5527";"no";"no";"321.600000";510.0;0.0;107.0;54.67;251.6;115.0;21.39;141.1;158.0;6.35;11.3;3.0;3.05;2.0;"True."
"HI";"149";"393-8736";"no";"no";"166.600000";510.0;0.0;61.0;28.32;218.8;107.0;18.6;208.3;131.0;9.37;8.2;6.0;2.21;7.0;"False."
"WI";"73";"402-7626";"no";"no";"214.200000";415.0;0.0;90.0;36.41;196.8;78.0;16.73;157.9;112.0;7.11;5.9;8.0;1.59;0.0;"False."
"MD";"61";"370-2688";"no";"no";"260.000000";415.0;0.0;123.0;44.2;210.5;127.0;17.89;234.7;70.0;10.56;9.0;3.0;2.43;1.0;"True."
"WV";"161";"418-9036";"no";"no";"191.900000";415.0;0.0;113.0;32.62;70.9;87.0;6.03;204.8;107.0;9.22;13.4;4.0;3.62;4.0;"True."
"VT";"73";"417-2035";"no";"no";"213.000000";408.0;0.0;95.0;36.21;188.8;104.0;16.05;136.2;89.0;6.13;13.5;3.0;3.65;0.0;"False."
"UT";"118";"355-3602";"no";"yes";"118.100000";415.0;24.0;83.0;20.08;109.6;72.0;9.32;245.5;73.0;11.05;16.9;2.0;4.56;1.0;"False."
"CO";"23";"393-4027";"no";"no";"190.200000";408.0;0.0;89.0;32.33;166.4;108.0;14.14;219.8;73.0;9.89;15.0;4.0;4.05;6.0;"False."
"NC";"127";"418-5141";"no";"yes";"82.200000";415.0;25.0;95.0;13.97;163.3;109.0;13.88;264.9;104.0;11.92;5.1;6.0;1.38;0.0;"False."
"NJ";"42";"406-1247";"no";"yes";"163.800000";415.0;32.0;80.0;27.85;177.8;123.0;15.11;190.4;106.0;8.57;8.1;5.0;2.19;0.0;"False."
"AR";"118";"402-3892";"no";"no";"267.800000";415.0;0.0;145.0;45.53;316.4;121.0;26.89;208.6;91.0;9.39;14.4;11.0;3.89;5.0;"True."
"IA";"45";"332-2965";"no";"no";"159.800000";510.0;0.0;91.0;27.17;120.4;86.0;10.23;163.0;93.0;7.34;10.6;3.0;2.86;2.0;"False."
"GA";"50";"377-1218";"no";"yes";"214.300000";408.0;24.0;129.0;36.43;289.8;55.0;24.63;312.5;130.0;14.06;10.6;4.0;2.86;1.0;"False."
"MO";"179";"355-2464";"no";"no";"287.300000";510.0;0.0;123.0;48.84;288.0;114.0;24.48;266.0;112.0;11.97;10.5;4.0;2.84;0.0;"True."
"MO";"152";"404-4611";"no";"no";"101.200000";408.0;0.0;122.0;17.2;141.6;87.0;12.04;198.5;124.0;8.93;7.5;3.0;2.03;2.0;"False."
"WY";"105";"373-2339";"no";"no";"102.800000";415.0;0.0;74.0;17.48;281.7;125.0;23.94;228.1;113.0;10.26;13.2;5.0;3.56;2.0;"False."
"HI";"72";"410-3503";"no";"no";"109.100000";415.0;0.0;97.0;18.55;115.7;96.0;9.83;295.8;84.0;13.31;8.3;6.0;2.24;0.0;"False."
"PA";"52";"410-4739";"no";"no";"215.900000";408.0;0.0;67.0;36.7;217.0;108.0;18.45;342.8;130.0;15.43;5.2;2.0;1.4;1.0;"False."
"TX";"125";"365-3562";"no";"no";"203.400000";415.0;0.0;110.0;34.58;128.7;97.0;10.94;190.5;113.0;8.57;11.0;4.0;2.97;1.0;"False."
"VA";"143";"387-7641";"no";"no";"110.100000";510.0;0.0;113.0;18.72;169.0;59.0;14.37;166.7;94.0;7.5;9.2;2.0;2.48;1.0;"False."
"RI";"65";"385-9744";"no";"no";"111.000000";415.0;0.0;51.0;18.87;219.8;84.0;18.68;202.0;89.0;9.09;4.4;14.0;1.19;1.0;"False."
"WI";"80";"398-5006";"no";"no";"239.900000";415.0;0.0;121.0;40.78;142.3;51.0;12.1;364.3;106.0;16.39;9.3;5.0;2.51;1.0;"False."
"MS";"1";"408-3977";"no";"no";"144.800000";415.0;0.0;107.0;24.62;112.5;66.0;9.56;218.7;79.0;9.84;13.8;3.0;3.73;1.0;"False."
"KY";"60";"334-2729";"no";"no";"135.400000";408.0;0.0;134.0;23.02;205.9;85.0;17.5;204.0;103.0;9.18;7.9;4.0;2.13;1.0;"False."
"NC";"43";"334-7685";"no";"no";"84.200000";415.0;0.0;134.0;14.31;80.8;103.0;6.87;196.1;79.0;8.82;10.8;2.0;2.92;1.0;"False."
"NV";"143";"350-9228";"no";"no";"209.100000";415.0;0.0;127.0;35.55;106.1;80.0;9.02;179.6;90.0;8.08;14.0;6.0;3.78;0.0;"False."
"UT";"81";"407-5774";"no";"yes";"130.100000";415.0;24.0;117.0;22.12;196.0;61.0;16.66;139.3;123.0;6.27;11.4;5.0;3.08;0.0;"False."
"ME";"205";"413-4039";"no";"yes";"175.800000";510.0;24.0;139.0;29.89;155.0;98.0;13.18;180.7;64.0;8.13;7.8;5.0;2.11;2.0;"False."
"HI";"24";"343-2077";"no";"no";"241.900000";415.0;0.0;104.0;41.12;145.2;112.0;12.34;214.5;105.0;9.65;6.6;5.0;1.78;1.0;"False."
"OH";"74";"336-5661";"no";"no";"136.700000";415.0;0.0;106.0;23.24;228.6;105.0;19.43;265.3;114.0;11.94;9.8;4.0;2.65;0.0;"False."
"WV";"77";"355-4143";"no";"no";"67.700000";510.0;0.0;68.0;11.51;195.7;86.0;16.63;236.5;137.0;10.64;12.0;2.0;3.24;1.0;"False."
"OK";"74";"366-5918";"no";"no";"200.400000";415.0;0.0;87.0;34.07;309.2;105.0;26.28;152.1;118.0;6.84;10.0;2.0;2.7;1.0;"False."
"KY";"74";"368-7555";"yes";"no";"125.800000";510.0;0.0;103.0;21.39;207.7;96.0;17.65;207.4;143.0;9.33;14.1;4.0;3.81;1.0;"True."
"AL";"200";"408-2119";"no";"no";"128.200000";408.0;0.0;87.0;21.79;133.2;105.0;11.32;177.6;123.0;7.99;11.2;2.0;3.02;1.0;"False."
"MD";"86";"329-2789";"no";"no";"226.300000";408.0;0.0;88.0;38.47;223.0;107.0;18.96;255.6;92.0;11.5;13.0;3.0;3.51;4.0;"False."
